goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1051778,Azazie Dysis BG,2,15,15,25,sample,$,SN1625191157804,1.00
1006564,Azazie Cindy BG,2,15,15,25,sample,$,SN1588587816050,1000.00
1006623,Azazie Devi BG,2,15,15,25,sample,$,SN1588587816050,1000.00
1051769,Azazie Vivienne BG,2,15,15,25,sample,$,SN1625191157804,519.00
1051771,Azazie Mistie BG,2,15,15,25,sample,$,SN1625191157804,1.00
1003075,Azazie Xena BG,2,15,15,25,sample,$,SN1553498996030,1000.00
1035604,Azazie Delaina BG,2,15,15,25,sample,$,SN1607501053825,1.00
1051737,Azazie Fahren BG,2,15,15,25,sample,$,SN1625191157804,1.00
1051760,Azazie Starlow BG,2,15,15,25,sample,$,SN1625191157804,1.00
1051836,Azazie Florian BG,2,15,15,25,sample,$,SN1625191157805,1.00
1003089,Azazie Melrose BG,2,15,15,25,sample,$,SN1553499150283,1000.00
1006553,Azazie Bella BG,2,15,15,25,sample,$,SN1588587816049,1000.00
1035612,Azazie Fawn BG,2,15,15,25,sample,$,SN1607501053825,1.00
1006552,Azazie Josephine BG,2,15,15,25,sample,$,SN1588587816049,1000.00
1006627,Azazie Ariya BG,2,15,15,25,sample,$,SN1588587816050,1.00
1006628,Azazie Trixie BG,2,15,15,25,sample,$,SN1588587816050,1.00
1051850,Azazie Calliana BG,2,15,15,25,sample,$,SN1625191157805,1.00
1006581,Azazie Lorenza BG,2,15,15,25,sample,$,SN1588587816050,1000.00
1001261,Azazie Selena BG,2,15,15,25,sample,$,SN1481682894631,300.00
1004153,Azazie Saffron BG,2,15,15,25,sample,$,SN1575010420935,1000.00
1006608,Azazie Joie BG,2,15,15,25,sample,$,SN1588587816050,1000.00
1035605,Azazie Daira BG,2,15,15,25,sample,$,SN1607501053825,1.00
1051819,Azazie James BG,2,15,15,25,sample,$,SN1625191157805,1.00
1051821,Azazie Memphis BG,2,15,15,25,sample,$,SN1625191157805,1.00
1051846,Azazie Aurelie BG,2,15,15,25,sample,$,SN1625191157805,1.00
1002069,Azazie Indie BG,2,15,15,25,sample,$,SN1523517141872,1000.00
1035566,Azazie Devonna BG,2,15,15,25,sample,$,SN1607501053825,1.00
1051775,Azazie Gala BG,2,15,15,25,sample,$,SN1625191157804,1.00
1003003,Azazie Lafayette BG,2,15,15,25,sample,$,SN1553497619582,1000.00
1006543,Azazie Windsor BG,2,15,15,25,sample,$,SN1588587816049,1000.00
